iteration,question_id,num_detected_t0.65,num_same_answer_t0.65,same_answer_perc_t0.65,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.75,num_same_answer_t0.75,same_answer_perc_t0.75,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.85,num_same_answer_t0.85,same_answer_perc_t0.85,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95
63,index_62,423,210,49.65,423,210,49.65,420,208,49.52,408,204,50.00,364,184,50.55,215,110,51.16,39,22,56.41
66,index_65,151,151,100.00,151,151,100.00,148,148,100.00,146,146,100.00,139,139,100.00,112,112,100.00,4,4,100.00
73,index_72,94,94,100.00,94,94,100.00,94,94,100.00,88,88,100.00,74,74,100.00,43,43,100.00,10,10,100.00
83,index_82,272,272,100.00,270,270,100.00,266,266,100.00,258,258,100.00,235,235,100.00,165,165,100.00,50,50,100.00
84,index_83,16,16,100.00,16,16,100.00,13,13,100.00,10,10,100.00,7,7,100.00,3,3,100.00,0,0,
89,index_88,452,205,45.35,450,205,45.56,449,204,45.43,429,191,44.52,371,165,44.47,193,82,42.49,24,9,37.50
101,index_100,374,255,68.18,373,254,68.10,369,252,68.29,358,245,68.44,324,219,67.59,199,131,65.83,40,20,50.00
104,index_103,197,197,100.00,196,196,100.00,195,195,100.00,188,188,100.00,163,163,100.00,112,112,100.00,44,44,100.00
105,index_104,367,271,73.84,365,270,73.97,365,270,73.97,356,264,74.16,332,244,73.49,237,176,74.26,39,28,71.79
110,index_109,387,188,48.58,387,188,48.58,386,188,48.70,381,185,48.56,369,178,48.24,294,143,48.64,57,22,38.60
112,index_111,214,214,100.00,209,209,100.00,202,202,100.00,188,188,100.00,155,155,100.00,76,76,100.00,8,8,100.00
113,index_112,431,431,100.00,430,430,100.00,427,427,100.00,415,415,100.00,347,347,100.00,154,154,100.00,18,18,100.00
114,index_113,289,267,92.39,287,266,92.68,284,264,92.96,273,255,93.41,242,224,92.56,157,145,92.36,22,21,95.45
118,index_117,440,359,81.59,440,359,81.59,436,355,81.42,427,348,81.50,379,304,80.21,227,174,76.65,29,19,65.52
120,index_119,149,149,100.00,149,149,100.00,147,147,100.00,140,140,100.00,128,128,100.00,87,87,100.00,6,6,100.00
129,index_128,452,201,44.47,452,201,44.47,450,200,44.44,444,200,45.05,396,174,43.94,238,105,44.12,29,17,58.62
135,index_134,144,144,100.00,143,143,100.00,139,139,100.00,132,132,100.00,104,104,100.00,48,48,100.00,3,3,100.00
140,index_139,473,156,32.98,472,156,33.05,472,156,33.05,461,154,33.41,429,143,33.33,293,99,33.79,64,27,42.19
142,index_141,29,29,100.00,28,28,100.00,26,26,100.00,22,22,100.00,18,18,100.00,10,10,100.00,0,0,
144,index_143,293,244,83.28,292,243,83.22,288,239,82.99,279,233,83.51,249,206,82.73,154,124,80.52,30,23,76.67
146,index_145,390,261,66.92,390,261,66.92,388,261,67.27,378,255,67.46,346,232,67.05,241,160,66.39,23,18,78.26
150,index_149,473,442,93.45,473,442,93.45,472,441,93.43,462,433,93.72,436,407,93.35,265,245,92.45,61,54,88.52
153,index_152,451,422,93.57,451,422,93.57,450,421,93.56,448,419,93.53,438,410,93.61,389,363,93.32,137,126,91.97
158,index_157,222,200,90.09,222,200,90.09,219,197,89.95,215,193,89.77,190,169,88.95,148,132,89.19,18,15,83.33
162,index_161,245,228,93.06,243,226,93.00,236,220,93.22,218,205,94.04,182,169,92.86,120,110,91.67,18,16,88.89
172,index_171,195,195,100.00,195,195,100.00,192,192,100.00,184,184,100.00,170,170,100.00,133,133,100.00,46,46,100.00
177,index_176,286,184,64.34,284,183,64.44,278,178,64.03,268,172,64.18,246,160,65.04,166,108,65.06,19,5,26.32
179,index_178,255,116,45.49,253,115,45.45,248,114,45.97,235,110,46.81,210,100,47.62,164,80,48.78,37,18,48.65
180,index_179,469,236,50.32,469,236,50.32,469,236,50.32,468,236,50.43,457,229,50.11,427,214,50.12,221,114,51.58
181,index_180,342,152,44.44,342,152,44.44,341,151,44.28,333,147,44.14,299,128,42.81,216,90,41.67,16,6,37.50
188,index_187,476,172,36.13,474,172,36.29,474,172,36.29,469,169,36.03,448,161,35.94,387,142,36.69,173,67,38.73
192,index_191,207,207,100.00,207,207,100.00,207,207,100.00,206,206,100.00,197,197,100.00,168,168,100.00,58,58,100.00
193,index_192,169,93,55.03,169,93,55.03,168,93,55.36,163,92,56.44,149,89,59.73,115,66,57.39,25,17,68.00
196,index_195,274,274,100.00,271,271,100.00,270,270,100.00,265,265,100.00,240,240,100.00,158,158,100.00,47,47,100.00
197,index_196,458,287,62.66,457,287,62.80,454,286,63.00,446,281,63.00,420,263,62.62,295,186,63.05,104,68,65.38
198,index_197,251,251,100.00,249,249,100.00,241,241,100.00,222,222,100.00,159,159,100.00,71,71,100.00,13,13,100.00
