iteration,question_id,num_detected_t0.10,num_same_answer_t0.10,same_answer_perc_t0.10,num_detected_t0.20,num_same_answer_t0.20,same_answer_perc_t0.20,num_detected_t0.30,num_same_answer_t0.30,same_answer_perc_t0.30,num_detected_t0.40,num_same_answer_t0.40,same_answer_perc_t0.40,num_detected_t0.50,num_same_answer_t0.50,same_answer_perc_t0.50,num_detected_t0.60,num_same_answer_t0.60,same_answer_perc_t0.60,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90
15,index_14,55,48,87.27,55,48,87.27,55,48,87.27,55,48,87.27,55,48,87.27,54,47,87.04,54,47,87.04,50,44,88.00,41,36,87.80
16,index_15,119,36,30.25,119,36,30.25,119,36,30.25,119,36,30.25,119,36,30.25,119,36,30.25,119,36,30.25,119,36,30.25,111,34,30.63
17,index_16,50,50,100.00,50,50,100.00,50,50,100.00,50,50,100.00,50,50,100.00,49,49,100.00,49,49,100.00,46,46,100.00,28,28,100.00
18,index_17,83,83,100.00,83,83,100.00,83,83,100.00,83,83,100.00,83,83,100.00,83,83,100.00,83,83,100.00,80,80,100.00,54,54,100.00
19,index_18,118,90,76.27,118,90,76.27,118,90,76.27,118,90,76.27,118,90,76.27,118,90,76.27,118,90,76.27,118,90,76.27,90,67,74.44
20,index_19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
21,index_20,110,99,90.00,110,99,90.00,110,99,90.00,110,99,90.00,110,99,90.00,110,99,90.00,110,99,90.00,109,98,89.91,88,79,89.77
22,index_21,62,28,45.16,62,28,45.16,62,28,45.16,62,28,45.16,62,28,45.16,62,28,45.16,60,27,45.00,57,27,47.37,30,14,46.67
23,index_22,120,72,60.00,120,72,60.00,120,72,60.00,120,72,60.00,120,72,60.00,120,72,60.00,120,72,60.00,120,72,60.00,98,62,63.27
24,index_23,119,59,49.58,119,59,49.58,119,59,49.58,119,59,49.58,119,59,49.58,119,59,49.58,119,59,49.58,117,59,50.43,65,33,50.77
25,index_24,119,68,57.14,119,68,57.14,119,68,57.14,119,68,57.14,119,68,57.14,119,68,57.14,119,68,57.14,119,68,57.14,81,48,59.26
26,index_25,117,58,49.57,117,58,49.57,117,58,49.57,117,58,49.57,117,58,49.57,117,58,49.57,117,58,49.57,117,58,49.57,95,49,51.58
27,index_26,89,80,89.89,89,80,89.89,89,80,89.89,89,80,89.89,89,80,89.89,88,79,89.77,88,79,89.77,87,78,89.66,62,57,91.94
28,index_27,113,64,56.64,113,64,56.64,113,64,56.64,113,64,56.64,113,64,56.64,113,64,56.64,113,64,56.64,109,61,55.96,40,19,47.50
29,index_28,116,36,31.03,116,36,31.03,116,36,31.03,116,36,31.03,116,36,31.03,116,36,31.03,116,36,31.03,115,36,31.30,94,26,27.66
30,index_29,117,117,100.00,117,117,100.00,117,117,100.00,117,117,100.00,117,117,100.00,117,117,100.00,117,117,100.00,117,117,100.00,93,93,100.00
31,index_30,109,81,74.31,109,81,74.31,109,81,74.31,109,81,74.31,109,81,74.31,109,81,74.31,108,80,74.07,106,78,73.58,34,23,67.65
32,index_31,115,115,100.00,115,115,100.00,115,115,100.00,115,115,100.00,115,115,100.00,115,115,100.00,115,115,100.00,114,114,100.00,105,105,100.00
33,index_32,107,72,67.29,107,72,67.29,107,72,67.29,107,72,67.29,107,72,67.29,106,71,66.98,105,70,66.67,100,66,66.00,48,32,66.67
34,index_33,120,57,47.50,120,57,47.50,120,57,47.50,120,57,47.50,120,57,47.50,120,57,47.50,120,57,47.50,119,56,47.06,110,50,45.45
35,index_34,42,42,100.00,42,42,100.00,42,42,100.00,42,42,100.00,42,42,100.00,42,42,100.00,41,41,100.00,41,41,100.00,31,31,100.00
36,index_35,110,53,48.18,110,53,48.18,110,53,48.18,110,53,48.18,110,53,48.18,110,53,48.18,107,52,48.60,104,51,49.04,24,12,50.00
37,index_36,118,46,38.98,118,46,38.98,118,46,38.98,118,46,38.98,118,46,38.98,118,46,38.98,118,46,38.98,109,43,39.45,42,15,35.71
38,index_37,110,110,100.00,110,110,100.00,110,110,100.00,110,110,100.00,110,110,100.00,110,110,100.00,110,110,100.00,108,108,100.00,78,78,100.00
39,index_38,8,8,100.00,8,8,100.00,8,8,100.00,8,8,100.00,8,8,100.00,8,8,100.00,8,8,100.00,8,8,100.00,2,2,100.00
40,index_39,89,89,100.00,89,89,100.00,89,89,100.00,89,89,100.00,89,89,100.00,89,89,100.00,88,88,100.00,85,85,100.00,32,32,100.00
41,index_40,88,88,100.00,88,88,100.00,88,88,100.00,88,88,100.00,88,88,100.00,88,88,100.00,88,88,100.00,83,83,100.00,52,52,100.00
42,index_41,83,83,100.00,83,83,100.00,83,83,100.00,83,83,100.00,83,83,100.00,82,82,100.00,80,80,100.00,78,78,100.00,57,57,100.00
43,index_42,102,33,32.35,102,33,32.35,102,33,32.35,102,33,32.35,102,33,32.35,102,33,32.35,101,33,32.67,99,33,33.33,73,23,31.51
44,index_43,13,13,100.00,13,13,100.00,13,13,100.00,13,13,100.00,13,13,100.00,13,13,100.00,13,13,100.00,11,11,100.00,7,7,100.00
45,index_44,116,116,100.00,116,116,100.00,116,116,100.00,116,116,100.00,116,116,100.00,116,116,100.00,116,116,100.00,115,115,100.00,99,99,100.00
46,index_45,120,44,36.67,120,44,36.67,120,44,36.67,120,44,36.67,120,44,36.67,120,44,36.67,120,44,36.67,119,43,36.13,90,33,36.67
47,index_46,106,106,100.00,106,106,100.00,106,106,100.00,106,106,100.00,106,106,100.00,106,106,100.00,106,106,100.00,101,101,100.00,48,48,100.00
48,index_47,120,37,30.83,120,37,30.83,120,37,30.83,120,37,30.83,120,37,30.83,120,37,30.83,120,37,30.83,117,36,30.77,71,23,32.39
49,index_48,120,41,34.17,120,41,34.17,120,41,34.17,120,41,34.17,120,41,34.17,120,41,34.17,120,41,34.17,120,41,34.17,111,36,32.43
50,index_49,60,60,100.00,60,60,100.00,60,60,100.00,60,60,100.00,60,60,100.00,60,60,100.00,60,60,100.00,49,49,100.00,14,14,100.00
51,index_50,119,104,87.39,119,104,87.39,119,104,87.39,119,104,87.39,119,104,87.39,119,104,87.39,119,104,87.39,119,104,87.39,118,103,87.29
52,index_51,69,69,100.00,69,69,100.00,69,69,100.00,69,69,100.00,69,69,100.00,69,69,100.00,69,69,100.00,65,65,100.00,27,27,100.00
53,index_52,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,109,58,53.21
54,index_53,117,43,36.75,117,43,36.75,117,43,36.75,117,43,36.75,117,43,36.75,117,43,36.75,117,43,36.75,115,42,36.52,89,32,35.96
55,index_54,120,57,47.50,120,57,47.50,120,57,47.50,120,57,47.50,120,57,47.50,120,57,47.50,120,57,47.50,120,57,47.50,94,46,48.94
56,index_55,116,67,57.76,116,67,57.76,116,67,57.76,116,67,57.76,116,67,57.76,116,67,57.76,115,66,57.39,114,65,57.02,56,37,66.07
57,index_56,114,47,41.23,114,47,41.23,114,47,41.23,114,47,41.23,114,47,41.23,114,47,41.23,114,47,41.23,114,47,41.23,99,42,42.42
58,index_57,82,40,48.78,82,40,48.78,82,40,48.78,82,40,48.78,82,40,48.78,82,40,48.78,82,40,48.78,79,39,49.37,69,35,50.72
59,index_58,59,59,100.00,59,59,100.00,59,59,100.00,59,59,100.00,59,59,100.00,59,59,100.00,59,59,100.00,56,56,100.00,34,34,100.00
60,index_59,115,115,100.00,115,115,100.00,115,115,100.00,115,115,100.00,115,115,100.00,115,115,100.00,115,115,100.00,113,113,100.00,92,92,100.00
61,index_60,110,95,86.36,110,95,86.36,110,95,86.36,110,95,86.36,110,95,86.36,110,95,86.36,110,95,86.36,109,94,86.24,83,73,87.95
62,index_61,120,81,67.50,120,81,67.50,120,81,67.50,120,81,67.50,120,81,67.50,120,81,67.50,120,81,67.50,120,81,67.50,75,51,68.00
63,index_62,116,116,100.00,116,116,100.00,116,116,100.00,116,116,100.00,116,116,100.00,116,116,100.00,116,116,100.00,115,115,100.00,79,79,100.00
64,index_63,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,107,39,36.45
65,index_64,119,71,59.66,119,71,59.66,119,71,59.66,119,71,59.66,119,71,59.66,119,71,59.66,119,71,59.66,119,71,59.66,100,59,59.00
66,index_65,10,10,100.00,10,10,100.00,10,10,100.00,10,10,100.00,10,10,100.00,10,10,100.00,10,10,100.00,7,7,100.00,2,2,100.00
67,index_66,89,89,100.00,89,89,100.00,89,89,100.00,89,89,100.00,89,89,100.00,89,89,100.00,89,89,100.00,83,83,100.00,30,30,100.00
68,index_67,92,92,100.00,92,92,100.00,92,92,100.00,92,92,100.00,92,92,100.00,91,91,100.00,85,85,100.00,77,77,100.00,36,36,100.00
69,index_68,117,117,100.00,117,117,100.00,117,117,100.00,117,117,100.00,117,117,100.00,117,117,100.00,117,117,100.00,116,116,100.00,86,86,100.00
70,index_69,118,72,61.02,118,72,61.02,118,72,61.02,118,72,61.02,118,72,61.02,118,72,61.02,118,72,61.02,117,72,61.54,68,41,60.29
71,index_70,72,72,100.00,72,72,100.00,72,72,100.00,72,72,100.00,72,72,100.00,72,72,100.00,72,72,100.00,69,69,100.00,46,46,100.00
72,index_71,117,67,57.26,117,67,57.26,117,67,57.26,117,67,57.26,117,67,57.26,117,67,57.26,117,67,57.26,116,66,56.90,61,32,52.46
73,index_72,27,27,100.00,27,27,100.00,27,27,100.00,27,27,100.00,27,27,100.00,27,27,100.00,27,27,100.00,24,24,100.00,16,16,100.00
74,index_73,99,99,100.00,99,99,100.00,99,99,100.00,99,99,100.00,99,99,100.00,99,99,100.00,98,98,100.00,96,96,100.00,77,77,100.00
75,index_74,63,63,100.00,63,63,100.00,63,63,100.00,63,63,100.00,63,63,100.00,63,63,100.00,63,63,100.00,45,45,100.00,13,13,100.00
76,index_75,105,42,40.00,105,42,40.00,105,42,40.00,105,42,40.00,105,42,40.00,105,42,40.00,105,42,40.00,104,41,39.42,67,28,41.79
77,index_76,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,119,119,100.00,99,99,100.00
78,index_77,102,102,100.00,102,102,100.00,102,102,100.00,102,102,100.00,102,102,100.00,102,102,100.00,102,102,100.00,101,101,100.00,71,71,100.00
79,index_78,119,91,76.47,119,91,76.47,119,91,76.47,119,91,76.47,119,91,76.47,119,91,76.47,119,91,76.47,117,90,76.92,76,58,76.32
80,index_79,115,29,25.22,115,29,25.22,115,29,25.22,115,29,25.22,115,29,25.22,115,29,25.22,115,29,25.22,115,29,25.22,72,16,22.22
81,index_80,117,49,41.88,117,49,41.88,117,49,41.88,117,49,41.88,117,49,41.88,117,49,41.88,117,49,41.88,116,48,41.38,76,37,48.68
82,index_81,112,87,77.68,112,87,77.68,112,87,77.68,112,87,77.68,112,87,77.68,112,87,77.68,112,87,77.68,112,87,77.68,85,69,81.18
83,index_82,102,102,100.00,102,102,100.00,102,102,100.00,102,102,100.00,102,102,100.00,102,102,100.00,102,102,100.00,102,102,100.00,77,77,100.00
84,index_83,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
85,index_84,104,92,88.46,104,92,88.46,104,92,88.46,104,92,88.46,104,92,88.46,104,92,88.46,104,92,88.46,104,92,88.46,84,73,86.90
86,index_85,116,62,53.45,116,62,53.45,116,62,53.45,116,62,53.45,116,62,53.45,116,62,53.45,116,62,53.45,115,61,53.04,77,37,48.05
87,index_86,91,91,100.00,91,91,100.00,91,91,100.00,90,90,100.00,90,90,100.00,90,90,100.00,88,88,100.00,81,81,100.00,28,28,100.00
88,index_87,10,6,60.00,10,6,60.00,10,6,60.00,10,6,60.00,10,6,60.00,10,6,60.00,10,6,60.00,7,3,42.86,3,2,66.67
89,index_88,119,78,65.55,119,78,65.55,119,78,65.55,119,78,65.55,119,78,65.55,119,78,65.55,119,78,65.55,117,76,64.96,79,50,63.29
90,index_89,118,118,100.00,118,118,100.00,118,118,100.00,118,118,100.00,118,118,100.00,118,118,100.00,118,118,100.00,117,117,100.00,71,71,100.00
91,index_90,118,79,66.95,118,79,66.95,118,79,66.95,118,79,66.95,118,79,66.95,118,79,66.95,118,79,66.95,118,79,66.95,73,48,65.75
92,index_91,119,50,42.02,119,50,42.02,119,50,42.02,119,50,42.02,119,50,42.02,119,50,42.02,119,50,42.02,119,50,42.02,118,50,42.37
93,index_92,76,46,60.53,76,46,60.53,76,46,60.53,76,46,60.53,76,46,60.53,76,46,60.53,76,46,60.53,73,45,61.64,41,26,63.41
94,index_93,113,98,86.73,113,98,86.73,113,98,86.73,113,98,86.73,113,98,86.73,113,98,86.73,113,98,86.73,112,98,87.50,73,63,86.30
95,index_94,119,35,29.41,119,35,29.41,119,35,29.41,119,35,29.41,119,35,29.41,119,35,29.41,118,35,29.66,117,35,29.91,92,28,30.43
96,index_95,105,105,100.00,105,105,100.00,105,105,100.00,105,105,100.00,105,105,100.00,105,105,100.00,105,105,100.00,102,102,100.00,51,51,100.00
97,index_96,10,10,100.00,10,10,100.00,10,10,100.00,10,10,100.00,10,10,100.00,10,10,100.00,10,10,100.00,6,6,100.00,1,1,100.00
98,index_97,117,77,65.81,117,77,65.81,117,77,65.81,117,77,65.81,117,77,65.81,117,77,65.81,117,77,65.81,116,76,65.52,84,55,65.48
99,index_98,120,39,32.50,120,39,32.50,120,39,32.50,120,39,32.50,120,39,32.50,120,39,32.50,120,39,32.50,120,39,32.50,94,35,37.23
100,index_99,116,49,42.24,116,49,42.24,116,49,42.24,116,49,42.24,116,49,42.24,116,49,42.24,116,49,42.24,114,49,42.98,65,30,46.15
101,index_100,104,77,74.04,104,77,74.04,104,77,74.04,104,77,74.04,104,77,74.04,104,77,74.04,103,76,73.79,101,75,74.26,50,38,76.00
102,index_101,100,100,100.00,100,100,100.00,100,100,100.00,100,100,100.00,100,100,100.00,100,100,100.00,99,99,100.00,97,97,100.00,55,55,100.00
103,index_102,119,55,46.22,119,55,46.22,119,55,46.22,119,55,46.22,119,55,46.22,119,55,46.22,119,55,46.22,118,55,46.61,90,46,51.11
104,index_103,98,83,84.69,98,83,84.69,98,83,84.69,98,83,84.69,98,83,84.69,98,83,84.69,96,81,84.38,94,79,84.04,73,61,83.56
105,index_104,97,97,100.00,97,97,100.00,97,97,100.00,97,97,100.00,97,97,100.00,97,97,100.00,97,97,100.00,95,95,100.00,59,59,100.00
106,index_105,118,56,47.46,118,56,47.46,118,56,47.46,118,56,47.46,118,56,47.46,118,56,47.46,118,56,47.46,113,54,47.79,83,46,55.42
107,index_106,5,5,100.00,5,5,100.00,5,5,100.00,5,5,100.00,5,5,100.00,5,5,100.00,4,4,100.00,4,4,100.00,2,2,100.00
108,index_107,32,32,100.00,32,32,100.00,32,32,100.00,32,32,100.00,32,32,100.00,32,32,100.00,29,29,100.00,24,24,100.00,3,3,100.00
109,index_108,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,102,102,100.00,98,98,100.00,59,59,100.00
110,index_109,107,107,100.00,107,107,100.00,107,107,100.00,107,107,100.00,107,107,100.00,107,107,100.00,107,107,100.00,106,106,100.00,97,97,100.00
111,index_110,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,115,40,34.78
112,index_111,84,84,100.00,84,84,100.00,84,84,100.00,84,84,100.00,84,84,100.00,84,84,100.00,83,83,100.00,76,76,100.00,32,32,100.00
113,index_112,109,109,100.00,109,109,100.00,109,109,100.00,109,109,100.00,109,109,100.00,109,109,100.00,108,108,100.00,102,102,100.00,29,29,100.00
114,index_113,91,91,100.00,91,91,100.00,91,91,100.00,91,91,100.00,91,91,100.00,91,91,100.00,91,91,100.00,87,87,100.00,53,53,100.00
115,index_114,82,82,100.00,82,82,100.00,82,82,100.00,82,82,100.00,82,82,100.00,82,82,100.00,81,81,100.00,75,75,100.00,53,53,100.00
116,index_115,120,105,87.50,120,105,87.50,120,105,87.50,120,105,87.50,120,105,87.50,120,105,87.50,120,105,87.50,120,105,87.50,97,82,84.54
117,index_116,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,103,103,100.00
118,index_117,113,77,68.14,113,77,68.14,113,77,68.14,113,77,68.14,113,77,68.14,113,77,68.14,113,77,68.14,108,72,66.67,63,41,65.08
119,index_118,116,56,48.28,116,56,48.28,116,56,48.28,116,56,48.28,116,56,48.28,116,56,48.28,116,56,48.28,111,53,47.75,30,15,50.00
120,index_119,17,17,100.00,17,17,100.00,17,17,100.00,17,17,100.00,17,17,100.00,17,17,100.00,17,17,100.00,14,14,100.00,9,9,100.00
121,index_120,120,69,57.50,120,69,57.50,120,69,57.50,120,69,57.50,120,69,57.50,120,69,57.50,120,69,57.50,120,69,57.50,89,51,57.30
122,index_121,119,80,67.23,119,80,67.23,119,80,67.23,119,80,67.23,119,80,67.23,119,80,67.23,119,80,67.23,118,79,66.95,85,56,65.88
123,index_122,95,95,100.00,95,95,100.00,95,95,100.00,95,95,100.00,95,95,100.00,95,95,100.00,95,95,100.00,91,91,100.00,83,83,100.00
124,index_123,80,61,76.25,80,61,76.25,80,61,76.25,80,61,76.25,80,61,76.25,80,61,76.25,76,58,76.32,71,55,77.46,27,25,92.59
125,index_124,42,42,100.00,42,42,100.00,42,42,100.00,42,42,100.00,42,42,100.00,41,41,100.00,40,40,100.00,34,34,100.00,15,15,100.00
126,index_125,119,27,22.69,119,27,22.69,119,27,22.69,119,27,22.69,119,27,22.69,119,27,22.69,119,27,22.69,118,26,22.03,107,24,22.43
127,index_126,120,92,76.67,120,92,76.67,120,92,76.67,120,92,76.67,120,92,76.67,120,92,76.67,120,92,76.67,120,92,76.67,85,62,72.94
128,index_127,116,39,33.62,116,39,33.62,116,39,33.62,116,39,33.62,115,39,33.91,115,39,33.91,115,39,33.91,112,36,32.14,65,20,30.77
129,index_128,119,56,47.06,119,56,47.06,119,56,47.06,119,56,47.06,119,56,47.06,119,56,47.06,119,56,47.06,116,56,48.28,63,29,46.03
130,index_129,99,49,49.49,99,49,49.49,99,49,49.49,99,49,49.49,99,49,49.49,99,49,49.49,99,49,49.49,96,48,50.00,66,31,46.97
131,index_130,114,48,42.11,114,48,42.11,114,48,42.11,114,48,42.11,114,48,42.11,114,48,42.11,114,48,42.11,112,47,41.96,80,34,42.50
132,index_131,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,104,58,55.77
133,index_132,103,103,100.00,103,103,100.00,103,103,100.00,103,103,100.00,103,103,100.00,103,103,100.00,102,102,100.00,100,100,100.00,67,67,100.00
134,index_133,109,109,100.00,109,109,100.00,109,109,100.00,109,109,100.00,109,109,100.00,109,109,100.00,108,108,100.00,107,107,100.00,87,87,100.00
135,index_134,61,61,100.00,61,61,100.00,61,61,100.00,61,61,100.00,61,61,100.00,61,61,100.00,61,61,100.00,48,48,100.00,14,14,100.00
136,index_135,30,30,100.00,30,30,100.00,30,30,100.00,30,30,100.00,30,30,100.00,29,29,100.00,29,29,100.00,26,26,100.00,8,8,100.00
137,index_136,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,103,103,100.00,99,99,100.00,52,52,100.00
138,index_137,40,40,100.00,40,40,100.00,40,40,100.00,40,40,100.00,40,40,100.00,40,40,100.00,40,40,100.00,39,39,100.00,14,14,100.00
139,index_138,107,94,87.85,107,94,87.85,107,94,87.85,107,94,87.85,107,94,87.85,107,94,87.85,106,93,87.74,106,93,87.74,75,62,82.67
140,index_139,118,39,33.05,118,39,33.05,118,39,33.05,118,39,33.05,118,39,33.05,118,39,33.05,118,39,33.05,116,39,33.62,78,33,42.31
141,index_140,108,54,50.00,108,54,50.00,108,54,50.00,108,54,50.00,108,54,50.00,108,54,50.00,107,54,50.47,91,45,49.45,16,7,43.75
142,index_141,13,13,100.00,13,13,100.00,13,13,100.00,13,13,100.00,13,13,100.00,13,13,100.00,13,13,100.00,10,10,100.00,3,3,100.00
143,index_142,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,117,117,100.00,98,98,100.00
144,index_143,112,97,86.61,112,97,86.61,112,97,86.61,112,97,86.61,112,97,86.61,112,97,86.61,112,97,86.61,111,96,86.49,77,67,87.01
145,index_144,119,64,53.78,119,64,53.78,119,64,53.78,119,64,53.78,119,64,53.78,119,64,53.78,119,64,53.78,119,64,53.78,109,61,55.96
146,index_145,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,88,88,100.00
147,index_146,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,103,103,100.00,102,102,100.00,100,100,100.00,68,68,100.00
148,index_147,119,47,39.50,119,47,39.50,119,47,39.50,119,47,39.50,119,47,39.50,119,47,39.50,119,47,39.50,118,46,38.98,73,29,39.73
149,index_148,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,21,21,100.00,8,8,100.00
150,index_149,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,120,65,54.17,89,47,52.81
151,index_150,85,85,100.00,85,85,100.00,85,85,100.00,85,85,100.00,85,85,100.00,85,85,100.00,83,83,100.00,77,77,100.00,51,51,100.00
152,index_151,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
153,index_152,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,120,120,100.00,95,95,100.00
154,index_153,114,76,66.67,114,76,66.67,114,76,66.67,114,76,66.67,114,76,66.67,114,76,66.67,113,76,67.26,110,74,67.27,53,40,75.47
155,index_154,36,36,100.00,36,36,100.00,36,36,100.00,36,36,100.00,35,35,100.00,35,35,100.00,34,34,100.00,32,32,100.00,22,22,100.00
156,index_155,118,118,100.00,118,118,100.00,118,118,100.00,118,118,100.00,118,118,100.00,118,118,100.00,118,118,100.00,117,117,100.00,84,84,100.00
157,index_156,4,4,100.00,4,4,100.00,4,4,100.00,4,4,100.00,4,4,100.00,4,4,100.00,4,4,100.00,3,3,100.00,2,2,100.00
158,index_157,112,75,66.96,112,75,66.96,112,75,66.96,112,75,66.96,112,75,66.96,112,75,66.96,112,75,66.96,111,74,66.67,95,63,66.32
159,index_158,116,75,64.66,116,75,64.66,116,75,64.66,116,75,64.66,116,75,64.66,116,75,64.66,116,75,64.66,113,75,66.37,72,47,65.28
160,index_159,111,48,43.24,111,48,43.24,111,48,43.24,111,48,43.24,111,48,43.24,111,48,43.24,111,48,43.24,108,46,42.59,79,35,44.30
161,index_160,98,83,84.69,98,83,84.69,98,83,84.69,98,83,84.69,98,83,84.69,98,83,84.69,97,82,84.54,96,81,84.38,69,57,82.61
162,index_161,59,59,100.00,59,59,100.00,59,59,100.00,59,59,100.00,59,59,100.00,59,59,100.00,57,57,100.00,51,51,100.00,30,30,100.00
163,index_162,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,119,119,100.00,118,118,100.00,108,108,100.00
164,index_163,106,106,100.00,106,106,100.00,106,106,100.00,106,106,100.00,106,106,100.00,105,105,100.00,104,104,100.00,103,103,100.00,70,70,100.00
165,index_164,117,90,76.92,117,90,76.92,117,90,76.92,117,90,76.92,117,90,76.92,117,90,76.92,117,90,76.92,114,88,77.19,85,69,81.18
166,index_165,65,55,84.62,65,55,84.62,65,55,84.62,65,55,84.62,65,55,84.62,65,55,84.62,63,53,84.13,53,45,84.91,4,3,75.00
167,index_166,119,59,49.58,119,59,49.58,119,59,49.58,119,59,49.58,119,59,49.58,119,59,49.58,119,59,49.58,118,59,50.00,106,52,49.06
168,index_167,47,40,85.11,47,40,85.11,47,40,85.11,47,40,85.11,47,40,85.11,47,40,85.11,47,40,85.11,44,38,86.36,15,12,80.00
169,index_168,105,92,87.62,105,92,87.62,105,92,87.62,105,92,87.62,105,92,87.62,105,92,87.62,105,92,87.62,100,87,87.00,72,65,90.28
170,index_169,44,44,100.00,44,44,100.00,44,44,100.00,44,44,100.00,44,44,100.00,44,44,100.00,42,42,100.00,41,41,100.00,18,18,100.00
171,index_170,114,56,49.12,114,56,49.12,114,56,49.12,114,56,49.12,114,56,49.12,114,56,49.12,113,56,49.56,111,55,49.55,40,23,57.50
