iteration,question_id,num_detected_t0.10,num_same_answer_t0.10,same_answer_perc_t0.10,num_detected_t0.20,num_same_answer_t0.20,same_answer_perc_t0.20,num_detected_t0.30,num_same_answer_t0.30,same_answer_perc_t0.30,num_detected_t0.40,num_same_answer_t0.40,same_answer_perc_t0.40,num_detected_t0.50,num_same_answer_t0.50,same_answer_perc_t0.50,num_detected_t0.60,num_same_answer_t0.60,same_answer_perc_t0.60,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.75,num_same_answer_t0.75,same_answer_perc_t0.75,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90
19,index_18,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
20,index_19,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
21,index_20,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
22,index_21,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
23,index_22,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
24,index_23,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
25,index_24,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,
26,index_25,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
27,index_26,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
28,index_27,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
29,index_28,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
30,index_29,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
31,index_30,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
32,index_31,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
33,index_32,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
34,index_33,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
35,index_34,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
36,index_35,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
37,index_36,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
38,index_37,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
39,index_38,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
40,index_39,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
41,index_40,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
42,index_41,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
43,index_42,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
44,index_43,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
45,index_44,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
46,index_45,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
47,index_46,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
48,index_47,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
49,index_48,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
50,index_49,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
51,index_50,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
52,index_51,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
53,index_52,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
54,index_53,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
55,index_54,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
56,index_55,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
57,index_56,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
58,index_57,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
59,index_58,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
60,index_59,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
61,index_60,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
62,index_61,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
63,index_62,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
64,index_63,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
65,index_64,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
66,index_65,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
67,index_66,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
68,index_67,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
69,index_68,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
70,index_69,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
71,index_70,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
72,index_71,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
73,index_72,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
74,index_73,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
75,index_74,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
76,index_75,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,
77,index_76,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
78,index_77,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
79,index_78,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
80,index_79,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
81,index_80,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
82,index_81,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
83,index_82,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
84,index_83,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
85,index_84,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
86,index_85,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
87,index_86,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
88,index_87,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
89,index_88,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
90,index_89,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
91,index_90,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
92,index_91,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
93,index_92,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,
94,index_93,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
95,index_94,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
96,index_95,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
97,index_96,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
98,index_97,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
99,index_98,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
100,index_99,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
101,index_100,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
102,index_101,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
103,index_102,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
104,index_103,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
105,index_104,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
106,index_105,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
107,index_106,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
108,index_107,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,,0,0,,0,0,
109,index_108,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
110,index_109,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
111,index_110,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
112,index_111,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
113,index_112,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
114,index_113,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
115,index_114,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
116,index_115,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
117,index_116,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
118,index_117,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
119,index_118,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
120,index_119,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
121,index_120,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
122,index_121,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
123,index_122,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
124,index_123,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
125,index_124,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
126,index_125,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
127,index_126,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,0,0,
128,index_127,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
129,index_128,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
130,index_129,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
131,index_130,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
132,index_131,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
133,index_132,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
134,index_133,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
135,index_134,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
136,index_135,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
137,index_136,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
138,index_137,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
139,index_138,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
140,index_139,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
141,index_140,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
142,index_141,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
143,index_142,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
144,index_143,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
145,index_144,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
146,index_145,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
147,index_146,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
148,index_147,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
149,index_148,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
150,index_149,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
151,index_150,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
152,index_151,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
153,index_152,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
154,index_153,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
155,index_154,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,0,0,
156,index_155,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
157,index_156,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
158,index_157,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00,1,1,100.00
159,index_158,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00,1,0,0.00
